ProductId,Category,MainCategory,TaxTarifCode,SupplierName,WeightMeasure,WeightUnit,Description,Name,ProductPicUrl,Status,Quantity,UoM,CurrencyCode,Price,Width,Depth,Height,DimUnit,Rating
"HT-1000","Laptops","Computer Systems","1","Very Best Screens",4.2,"KG","Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro","Notebook Basic 15","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1000.jpg","In Stock",10,"PC","EUR",956,30,18,3,"cm",4
"HT-1003","Laptops","Computer Systems","1","Smartcards",4.2,"KG","Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro","Notebook Basic 19","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1003.jpg","In Stock",15,"PC","EUR",1650,32,21,4,"cm",5
"HT-1007","Accessories","Computer Components","1","Technocom",0.2,"KG","Digital Organizer with State-of-the-Art Storage Encryption","ITelO Vault","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1007.jpg","Not in Stock",15,"PC","EUR",299,32,22,3,"cm",2
"HT-1010","Accessories","Computer Systems","1","Very Best Screens",4.3,"KG","Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","Notebook Professional 15","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1010.jpg","Not in Stock",16,"PC","EUR",1999,33,20,3,"cm",1
"HT-1011","Laptops","Computer Systems","1","Very Best Screens",4.1,"KG","Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","Notebook Professional 17","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1011.jpg","In Stock",17,"PC","EUR",2299,33,23,2,"cm",3
"HT-1020","Accessories","Computer Components","1","Technocom",0.16,"KG","Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications","ITelO Vault Net","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1020.jpg","Not in Stock",14,"PC","EUR",459,10,1.8,17,"cm",4
"HT-1021","Accessories","Computer Components","1","Technocom",0.18,"KG","Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link","ITelO Vault SAT","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1021.jpg","In Stock",50,"PC","EUR",149,11,1.7,18,"cm",5
"HT-1022","Accessories","Computer Components","1","Technocom",0.2,"KG","32 GB Digital Assistant with high-resolution color screen","Comfort Easy","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1022.jpg","In Stock",30,"PC","EUR",1679,84,1.5,14,"cm",2
"HT-1023","Accessories","Computer Components","1","Technocom",0.8,"KG","64 GB Digital Assistant with high-resolution color screen and synthesized voice output","Comfort Senior","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1023.jpg","In Stock",24,"PC","EUR",512,80,1.6,13,"cm",4
"HT-1030","Flat Screen Monitors","Computer Components","1","Very Best Screens",21,"KG","Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm","Ergo Screen E-I","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1030.jpg","In Stock",14,"PC","EUR",230,37,12,36,"cm",4
